Счётчики электрической энергии – отчёт о по устройствам;;;;;;;;;;;;;;;;;;;;;;;;;;
за период с 28.02.2025 по 31.03.2025;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
№ п/п;Объект;Город;Улица;Дом;Подъезд;Этаж;Квартира;Потребитель;Место установки;Модем;Название и заводской № счетчика;Последнее сообщение;Базовая станция/УСПД;SNR;Лучшая БС;Средний SNR этой БС;Тип модема;Тариф 1;;;Тариф 2;;;Сумма;;
;;;;;;;;;;;;;;;;;;Показания (кВт·ч);;;Показания (кВт·ч);;;Показания (кВт·ч);;
;;;;;;;;;;;;;;;;;;Начало;Расход;Конец;Начало;Расход;Конец;Начало;Расход;Конец
1;17;;;17;;;;17;;7CBB79;8174457;01.04.2025 05:34 MSK;12945;60;12945;58;ФОБОС однофазный сплит непосредственного включения;64,114;0,07;64,184;24,147;0;24,147;88,261;0,07;88,331
2;94;;;94;;;;94;;796965;7956837;01.04.2025 05:38 MSK;12945;30;12945;35;ФОБОС однофазный непосредственного включения;16221,046;407,516;16628,562;7907,112;256,208;8163,32;24128,158;663,724;24791,882
3;95;;;95;;;;95;;7A69BA;8022458;01.04.2025 05:31 MSK;12945;38;12945;37;ФОБОС однофазный непосредственного включения;2695,459;0;2695,459;1257,892;0;1257,892;3953,351;0;3953,351
4;23222232;;23222232;;;;;Графские развалины;;83FE46;8650310;01.04.2025 05:25 MSK;12945;29;12945;28;ФОБОС трёхфазный сплит непосредственного включения;12706,341;453,468;13159,809;3911,871;239,514;4151,385;16618,212;692,982;17311,194
5;23222232, ГР-4;;23222232;ГР-4;;;;ГР-4;;948E48;9735752;01.04.2025 05:34 MSK;12945;47;12945;47;ФОБОС Лайт однофазный непосредственного включения;6350,327;410,773;6761,1;1282,587;116,116;1398,703;7632,914;526,889;8159,803
6;23222232, ГР-11;;23222232;ГР-11;;;;ГР-11;;948EB9;9735865;01.04.2025 05:25 MSK;12945;49;12945;51;ФОБОС Лайт однофазный непосредственного включения;0,585;0,001;0,586;0,001;0;0,001;0,586;0,001;0,587
7;23222232, ГР-32;;23222232;ГР-32;;;;ГР-32;;A85FDE;11034590;01.04.2025 05:10 MSK;12945;35;12945;35;ФОБОС однофазный сплит непосредственного включения;0,017;0;0,017;0;0;0;0,017;0;0,017
8;23222232, ГР-35;;23222232;ГР-35;;;;ГР-35;;7112B7;11073689;01.04.2025 05:13 MSK;12945;23;12945;29;ФОБОС трёхфазный непосредственного включения;7721,327;0;7721,327;3533,081;0,188;3533,269;11254,41;0,188;11254,598
