Счётчики электрической энергии – отчёт о по устройствам;;;;;;;;;;;;;;;;;;;;;;;;;;
за период с 30.04.2024 по 31.05.2024;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
№ п/п;Объект;Город;Улица;Дом;Подъезд;Этаж;Квартира;Потребитель;Место установки;Модем;Название и заводской № счетчика;Последнее сообщение;Базовая станция/УСПД;SNR;Лучшая БС;Средний SNR этой БС;Тип модема;Тариф 1;;;Тариф 2;;;Сумма;;
;;;;;;;;;;;;;;;;;;Показания (кВт·ч);;;Показания (кВт·ч);;;Показания (кВт·ч);;
;;;;;;;;;;;;;;;;;;Начало;Расход;Конец;Начало;Расход;Конец;Начало;Расход;Конец
1;94;;;94;;;;94;;796965;7956837;01.06.2024 20:22 MSK;12945;40;12945;40;ФОБОС однофазный непосредственного включения;12502,082;174,665;12676,747;6020,619;111,412;6132,031;18522,701;286,077;18808,778
2;95;;;95;;;;95;;7A69BA;8022458;01.06.2024 20:22 MSK;12945;41;12945;42;ФОБОС однофазный непосредственного включения;2695,329;0,13;2695,459;1257,892;0;1257,892;3953,221;0,13;3953,351
3;23222232;;23222232;;;;;Графские развалины;;83FE46;8650310;01.06.2024 20:21 MSK;12945;29;12945;28;ФОБОС трёхфазный сплит непосредственного включения;8996,865;250,262;9247,127;1952,506;23,133;1975,639;10949,371;273,395;11222,766
4;23222232, ГР-4;;23222232;ГР-4;;;;ГР-4;;948E48;9735752;01.06.2024 20:21 MSK;12945;55;12945;54;ФОБОС Лайт однофазный непосредственного включения;3298,278;210,23;3508,508;635,271;15,375;650,646;3933,549;225,605;4159,154
5;23222232, ГР-11;;23222232;ГР-11;;;;ГР-11;;948EB9;9735865;01.06.2024 20:21 MSK;12945;52;12945;55;ФОБОС Лайт однофазный непосредственного включения;0,584;0;0,584;0;0;0;0,584;0;0,584
6;23222232, ГР-35;;23222232;ГР-35;;;;ГР-35;;7112B7;11073689;01.06.2024 19:45 MSK;12945;27;12945;29;ФОБОС трёхфазный непосредственного включения;7721,332;0,046;7721,378;3532,712;0,03;3532,742;11257,628;0,076;11257,704
7;23222232, ГР-38;;23222232;ГР-38;;;;ГР-38;;715FDD;7430109;12.06.2023 09:20 MSK;12945;35;12945;36;ФОБОС однофазный непосредственного включения;65,992;0;65,992;0,221;0;0,221;66,213;0;66,213
8;23222232, ГР-40;;23222232;ГР-40;;;;ГР-40;;8E4EF6;9326326;01.06.2024 19:11 MSK;12945;54;12945;59;ФОБОС Лайт однофазный непосредственного включения;16,941;2,996;19,937;5,683;0,455;6,138;22,624;3,451;26,075
